"Sanction Counts, 2012-13"
"All Districts"

"",,"Sanction Type",,,
"Killingly School District","=""0690011""",733,132,0,16
"Learn","=""2450014""",209,108,0,11
"Lebanon School District","=""0710011""",56,"*",0,"*"
"Ledyard School District","=""0720011""",116,40,"*","*"
"Lisbon School District","=""0730011""",19,"*","*",0
"Litchfield School District","=""0740011""",65,8,6,0
"Madison School District","=""0760011""",152,42,6,"*"
"Manchester School District","=""""",1157,481,7,0
"Manchester School District","=""0770011""",1157,481,7,0
"Mansfield School District","=""""",19,9,"*","*"
"Mansfield School District","=""0780011""",19,9,"*","*"
"Marlborough School District","=""0790011""",10,0,0,"*"
"Meriden School District","=""0800011""",2307,1070,14,7
"Middletown School District","=""""",557,421,10,16
"Middletown School District","=""0830011""",557,421,10,16
"Milford School District","=""0840011""",597,301,"*","*"
"Monroe School District","=""0850011""",42,29,0,"*"
"Montville School District","=""0860011""",213,109,0,18
"Naugatuck School District","=""0880011""",383,351,0,"*"
"New Beginnings Inc., Family Academy District","=""2800013""",94,46,0,7
"New Britain School District","=""""",5680,2314,"*",10
"New Britain School District","=""0890011""",5680,2314,"*",10
"New Fairfield School District","=""""",253,47,"*","*"
"New Fairfield School District","=""0910011""",253,47,"*","*"
"New Hartford School District","=""0920011""","*","*",0,"*"
"New Haven School District","=""0930011""",700,1974,86,"*"
"New London School District","=""0950011""",1200,504,"*",31
"New Milford School District","=""0960011""",848,148,"*","*"
"Newington School District","=""""",641,72,8,21
"Newington School District","=""0940011""",641,72,8,21
"Newtown School District","=""0970011""",161,29,"*",0
"North Branford School District","=""0990011""",424,74,"*","*"
"North Canaan School District","=""1000011""",9,0,0,"*"
"North Haven School District","=""""",226,57,0,11
"North Haven School District","=""1010011""",226,57,0,11
"North Stonington School District","=""1020011""",25,"*",6,0
"Norwalk School District","=""1030011""",1262,548,54,9
"Norwich Free Academy District","=""9010022""",793,209,9,0
"Norwich School District","=""""",473,235,"*",23
"Norwich School District","=""1040011""",473,235,"*",23
"Odyssey Community School District","=""2630013""",7,6,0,0
"Old Saybrook School District","=""""",83,69,"*","*"
"Old Saybrook School District","=""1060011""",83,69,"*","*"
"Orange School District","=""1070011""",10,0,0,"*"
"Oxford School District","=""1080011""",34,35,0,0
"Park City Prep Charter School District","=""2830013""",25,23,0,0
"Plainfield School District","=""1090011""",302,176,8,31
"Plainville School District","=""""",233,27,0,"*"
"Plainville School District","=""1100011""",233,27,0,"*"
"Plymouth School District","=""1110011""",77,57,"*","*"
"Pomfret School District","=""1120011""",7,"*","*",0
"Portland School District","=""1130011""",64,17,"*",0
"Preston School District","=""1140011""",14,"*",0,6
"Putnam School District","=""1160011""",202,105,"*",13
"Redding School District","=""1170011""",39,"*",0,"*"
"Regional School District 01","=""2010012""",84,18,0,"*"
"Regional School District 04","=""2040012""",88,20,"*","*"
"Regional School District 05","=""2050012""",69,34,"*",0
"Regional School District 06","=""2060012""",75,22,"*","*"
"Regional School District 07","=""2070012""",27,57,0,0
"Regional School District 08","=""2080012""",221,38,"*",0
"Regional School District 09","=""2090012""",0,13,0,0
"Regional School District 10","=""2100012""",120,39,"*","*"
"Regional School District 11","=""2110012""",38,29,0,0
"Regional School District 12","=""2120012""",30,15,"*",0
"Regional School District 13","=""2130012""",43,"*","*",0
"Regional School District 14","=""2140012""",62,24,0,0
"Regional School District 15","=""2150012""",217,33,0,"*"
"Regional School District 16","=""2160012""",136,67,"*",0
"Regional School District 17","=""2170012""",134,11,"*","*"
"Regional School District 18","=""2180012""",23,"*","*",0
"Regional School District 19","=""""",87,78,"*",0
"Regional School District 19","=""2190012""",87,78,"*",0
"Ridgefield School District","=""1180011""",73,26,"*",12
"Rocky Hill School District","=""""",134,22,"*",0
"Rocky Hill School District","=""1190011""",134,22,"*",0
"Salem School District","=""1210011""","*","*",0,"*"
"Salisbury School District","=""1220011""",8,"*",0,"*"
"Scotland School District","=""1230011""","*","*",0,0
"Seymour School District","=""1240011""",239,118,"*",0
"Sharon School District","=""1250011""","*",0,0,0
"Shelton School District","=""1260011""",566,212,10,"*"
"Sherman School District","=""1270011""","*",0,0,0
"Side By Side Charter School District","=""2700013""",9,10,0,0
"Simsbury School District","=""1280011""",153,34,"*",0
"Somers School District","=""1290011""",161,31,0,"*"
"South Windsor School District","=""""",221,69,0,13
"South Windsor School District","=""1320011""",221,69,0,13
"Southington School District","=""""",313,122,6,0
"Southington School District","=""1310011""",313,122,6,0
"Sprague School District","=""1330011""",47,9,0,"*"
"Stafford School District","=""1340011""",249,46,"*",0
"Stamford Academy District","=""2820013""",8,54,0,0
"Stamford School District","=""""",206,410,39,0
"Stamford School District","=""1350011""",206,410,39,0
"Sterling School District","=""1360011""",0,0,0,56
"Stonington School District","=""1370011""",312,35,"*",16
"Stratford School District","=""1380011""",1120,141,0,29
"Suffield School District","=""1390011""",152,39,0,"*"
"The Bridge Academy District","=""2690013""",17,108,12,"*"
"The Gilbert School District","=""9020022""",241,87,0,0
"Thomaston School District","=""1400011""",80,51,0,0
"Thompson School District","=""1410011""",96,90,0,7
"Tolland School District","=""1420011""",214,38,"*","*"
"Torrington School District","=""""",602,307,7,28
"Torrington School District","=""1430011""",602,307,7,28
"Trailblazers Academy District","=""2780013""","*",6,0,0
"Trumbull School District","=""1440011""",97,87,12,"*"
"Unified School District #2","=""""",43,90,0,0
"Unified School District #2","=""3470015""",43,90,0,0
"Vernon School District","=""""",1023,218,0,19
"Vernon School District","=""1460011""",1023,218,0,19
"Voluntown School District","=""1470011""","*",0,0,0
"Wallingford School District","=""1480011""",681,213,"*",41
"Waterbury School District","=""1510011""",6955,6148,27,68
"Waterford School District","=""1520011""",256,59,"*","*"
"Watertown School District","=""1530011""",564,177,9,13
"West Hartford School District","=""1550011""",500,142,"*",13
"West Haven School District","=""1560011""",1008,501,21,91
"Westbrook School District","=""1540011""",88,13,"*","*"
"Weston School District","=""1570011""",50,20,"*",0
"Westport School District","=""1580011""",45,8,0,0
"Wethersfield School District","=""""",217,73,0,0
"Wethersfield School District","=""1590011""",217,73,0,0
"Willington School District","=""1600011""",20,7,0,0
"Wilton School District","=""1610011""",19,29,"*","*"
"Winchester School District","=""1620011""",33,34,0,"*"
"Windham School District","=""""",899,1107,36,34
"Windham School District","=""1630011""",899,1107,36,34
"Windsor Locks School District","=""""",244,69,8,8
"Windsor Locks School District","=""1650011""",244,69,8,8
"Windsor School District","=""1640011""",807,177,12,21
"Wolcott School District","=""1660011""",206,25,0,7
"Woodbridge School District","=""1670011""","*",0,"*",0
"Woodstock Academy District","=""9030022""",93,9,8,0
"Woodstock School District","=""1690011""",22,8,0,"*"

