"Sanction Counts, 2018-19"
"All Districts"

"",,"Sanction Type",,,
"New Britain School District","=""0890011""",1992,1667,8,35
"New Canaan School District","=""0900011""",38,7,0,"*"
"New Fairfield School District","=""0910011""",81,24,"*","*"
"New Hartford School District","=""0920011""",14,"*",0,0
"New Haven School District","=""0930010""",609,2154,22,86
"New Haven School District","=""0930011""",609,2154,22,86
"New London School District","=""0950011""",413,172,7,10
"New Milford School District","=""0960011""",440,132,"*",30
"Newington School District","=""0940011""",297,71,9,"*"
"Newtown School District","=""0970011""",82,53,"*",0
"Norfolk School District","=""0980011""","*",0,0,0
"North Branford School District","=""0990011""",142,59,0,0
"North Canaan School District","=""1000011""","*","*",0,0
"North Haven School District","=""1010011""",102,86,"*","*"
"North Stonington School District","=""1020011""",30,6,"*",0
"Norwalk School District","=""1030011""",621,369,38,27
"Norwich Free Academy District","=""9010022""",359,257,48,0
"Norwich School District","=""1040011""",430,428,8,8
"Odyssey Community School District","=""2630013""",7,"*",0,0
"Old Saybrook School District","=""1060011""","*",10,"*",0
"Orange School District","=""1070011""",25,0,0,"*"
"Oxford School District","=""1080011""",66,21,"*",0
"Park City Prep Charter School District","=""2830013""",24,16,0,0
"Plainfield School District","=""1090011""",288,242,11,8
"Plainville School District","=""1100011""",158,38,"*",0
"Plainville School District","=""3480015""",158,38,"*",0
"Plymouth School District","=""1110011""",187,26,0,0
"Pomfret School District","=""1120011""","*","*",0,0
"Portland School District","=""1130011""",79,65,0,"*"
"Preston School District","=""1140011""","*","*",0,0
"Putnam School District","=""1160011""",99,65,"*","*"
"Redding School District","=""1170011""",18,"*",0,"*"
"Regional School District 01","=""2010012""",78,21,0,0
"Regional School District 04","=""2040012""",48,"*","*",0
"Regional School District 05","=""2050012""",110,57,"*","*"
"Regional School District 06","=""2060012""",28,19,0,"*"
"Regional School District 07","=""2070012""",37,22,0,0
"Regional School District 08","=""2080012""",159,41,0,0
"Regional School District 09","=""2090012""",28,"*",0,0
"Regional School District 10","=""2100012""",42,23,"*",0
"Regional School District 11","=""2110012""",40,18,0,0
"Regional School District 12","=""2120012""",22,15,0,0
"Regional School District 13","=""2130012""",55,28,0,0
"Regional School District 14","=""2140012""",62,25,"*",0
"Regional School District 15","=""2150012""",155,53,"*",0
"Regional School District 16","=""2160012""",159,41,"*",0
"Regional School District 17","=""2170012""",141,44,"*",0
"Regional School District 18","=""2180012""",43,14,0,"*"
"Regional School District 19","=""2190012""",24,73,"*",0
"Ridgefield School District","=""1180011""",116,14,"*","*"
"Rocky Hill School District","=""1190011""",120,16,"*","*"
"Salem School District","=""1210011""",18,"*",0,"*"
"Salisbury School District","=""1220011""","*",0,0,0
"Scotland School District","=""1230011""","*","*",0,0
"Seymour School District","=""1240011""",265,167,8,"*"
"Sharon School District","=""1250011""","*",0,0,0
"Shelton School District","=""1260011""",457,110,"*",16
"Sherman School District","=""1270011""",23,"*","*",0
"Side By Side Charter School District","=""2700013""","*","*",0,"*"
"Simsbury School District","=""1280011""",118,11,"*",0
"Somers School District","=""1290011""",102,44,0,0
"South Windsor School District","=""1320011""",210,98,"*",7
"Southington School District","=""1310011""",315,153,"*","*"
"Sprague School District","=""1330011""",33,11,0,0
"Stafford School District","=""1340011""",143,18,"*",0
"Stamford Academy District","=""2820013""",0,"*",0,0
"Stamford Charter School for Excellence District","=""2960013""",0,"*",0,0
"Stamford School District","=""1350011""",238,943,19,9
"Sterling School District","=""1360011""",28,19,0,11
"Stonington School District","=""1370011""",161,47,0,"*"
"Stratford School District","=""1380011""",992,71,"*",14
"Suffield School District","=""1390011""",107,31,"*",10
"The Bridge Academy District","=""2690013""","*",35,"*","*"
"The Gilbert School District","=""9020022""",173,69,0,0
"The Woodstock Academy District","=""9030022""",118,19,0,0
"Thomaston School District","=""1400011""",104,24,"*",0
"Thompson School District","=""1410011""",30,115,0,"*"
"Tolland School District","=""1420011""",147,14,0,"*"
"Torrington School District","=""1430011""",428,218,9,18
"Trailblazers Academy District","=""2780013""","*","*",0,0
"Trumbull School District","=""1440011""",136,70,"*","*"
"Unified School District #2","=""3470015""",0,"*",0,0
"Vernon School District","=""1460011""",367,177,"*",9
"Wallingford School District","=""1480011""",472,131,"*",22
"Waterbury School District","=""1510011""",4593,4708,21,44
"Waterford School District","=""1520011""",318,23,"*","*"
"Watertown School District","=""1530011""",321,110,"*","*"
"West Hartford School District","=""1550011""",731,234,"*",11
"West Haven School District","=""1560011""",710,425,20,48
"Westbrook School District","=""1540011""","*","*",0,0
"Weston School District","=""1570011""",61,21,"*","*"
"Westport School District","=""1580011""",129,28,"*",0
"Wethersfield School District","=""1590011""",239,95,0,"*"
"Willington School District","=""1600011""",13,"*",0,11
"Wilton School District","=""1610011""",61,8,0,0
"Winchester School District","=""1620011""",21,9,0,8
"Windham School District","=""1630011""",643,534,22,10
"Windsor Locks School District","=""1650011""",158,71,"*",0
"Windsor School District","=""1640011""",698,276,12,44
"Wolcott School District","=""1660011""",179,39,0,0
"Woodbridge School District","=""1670011""",7,10,0,0
"Woodstock School District","=""1690011""",15,"*",0,"*"

