"Sanction Counts, 2014-15"
"All Districts"

"",,"Sanction Type",,,
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",47,64,0,8
"Eastford School District","=""0390011""","*","*",0,0
"Easton School District","=""0460011""",10,"*",0,0
"Education Connection","=""2420014""",7,39,0,0
"Ellington School District","=""0480011""",199,60,0,"*"
"Elm City College Preparatory School District","=""2890013""",152,137,"*",34
"Enfield School District","=""0490011""",777,310,14,12
"Essex School District","=""0500011""","*","*",0,0
"Explorations District","=""2720013""",11,7,0,0
"Fairfield School District","=""0510011""",187,46,0,12
"Farmington School District","=""0520011""",55,22,0,0
"Franklin School District","=""0530011""",11,0,0,0
"Glastonbury School District","=""0540011""",128,24,"*","*"
"Granby School District","=""0560011""",78,"*","*",7
"Great Oaks Charter School District","=""2940013""",29,125,0,"*"
"Greenwich School District","=""0570011""",133,62,"*",0
"Griswold School District","=""0580011""",207,109,"*",0
"Groton School District","=""0590011""",607,301,7,12
"Guilford School District","=""""",70,38,"*","*"
"Guilford School District","=""0600011""",70,38,"*","*"
"Hamden School District","=""""",581,357,19,44
"Hamden School District","=""0620011""",581,357,19,44
"Hartford School District","=""0640011""",3774,4883,104,78
"Hartland School District","=""0650011""",0,0,0,"*"
"Hebron School District","=""0670011""","*","*",0,0
"Highville Charter School District","=""2860013""",18,12,0,0
"Integrated Day Charter School District","=""2640013""",0,"*",0,0
"Interdistrict School for Arts and Comm District","=""2650013""",74,36,0,7
"Jumoke Academy District","=""2610013""",100,73,0,0
"Killingly School District","=""""",453,46,"*",15
"Killingly School District","=""0690011""",453,46,"*",15
"Learn","=""2450014""",95,91,0,"*"
"Lebanon School District","=""0710011""",27,16,"*",0
"Ledyard School District","=""0720011""",151,74,"*",0
"Lisbon School District","=""0730011""",9,0,0,0
"Litchfield School District","=""0740011""",70,20,"*","*"
"Madison School District","=""0760011""",99,25,"*","*"
"Manchester School District","=""""",846,341,14,"*"
"Manchester School District","=""0770011""",846,341,14,"*"
"Mansfield School District","=""0780011""",36,"*","*",0
"Marlborough School District","=""0790011""","*",0,0,0
"Meriden School District","=""0800011""",1224,849,"*",15
"Middletown School District","=""""",492,274,"*",18
"Middletown School District","=""0830011""",492,274,"*",18
"Milford School District","=""0840011""",533,199,8,"*"
"Monroe School District","=""0850011""",52,25,"*",0
"Montville School District","=""""",112,88,"*","*"
"Montville School District","=""0860011""",112,88,"*","*"
"Naugatuck School District","=""0880011""",519,293,8,"*"
"New Beginnings Inc., Family Academy District","=""2800013""","*",106,0,"*"
"New Britain School District","=""""",3012,1523,39,98
"New Britain School District","=""0890011""",3012,1523,39,98
"New Canaan School District","=""0900011""",14,6,"*","*"
"New Fairfield School District","=""0910011""",168,18,0,0
"New Hartford School District","=""0920011""",9,0,0,0
"New Haven School District","=""""",762,2822,40,78
"New Haven School District","=""0930011""",762,2822,40,78
"New London School District","=""0950011""",1360,458,13,58
"New Milford School District","=""0960011""",752,129,0,7
"Newington School District","=""0940011""",411,50,"*","*"
"Newtown School District","=""0970011""",150,51,"*",6
"Norfolk School District","=""0980011""",8,"*",0,0
"North Branford School District","=""0990011""",243,88,"*",7
"North Canaan School District","=""1000011""","*",0,0,0
"North Haven School District","=""1010011""",105,62,12,"*"
"North Stonington School District","=""1020011""",35,16,"*","*"
"Norwalk School District","=""""",782,227,30,6
"Norwalk School District","=""1030011""",782,227,30,6
"Norwich Free Academy District","=""9010022""",445,222,41,"*"
"Norwich School District","=""1040011""",249,189,"*","*"
"Odyssey Community School District","=""2630013""",22,6,0,0
"Old Saybrook School District","=""1060011""",59,22,"*",0
"Orange School District","=""1070011""",13,0,0,0
"Oxford School District","=""1080011""",28,18,"*",0
"Park City Prep Charter School District","=""2830013""",47,60,0,0
"Path Academy District","=""2930013""",0,94,0,0
"Plainfield School District","=""1090011""",408,173,"*",9
"Plainville School District","=""1100011""",172,25,"*","*"
"Plymouth School District","=""1110011""",83,27,0,"*"
"Pomfret School District","=""1120011""",10,"*",0,0
"Portland School District","=""1130011""",46,28,"*","*"
"Preston School District","=""1140011""",7,7,0,9
"Putnam School District","=""1160011""",83,59,"*","*"
"Redding School District","=""1170011""",15,0,0,"*"
"Regional School District 01","=""2010012""",128,25,0,"*"
"Regional School District 04","=""2040012""",32,8,"*",0
"Regional School District 05","=""2050012""",51,51,0,0
"Regional School District 06","=""2060012""",59,7,"*","*"
"Regional School District 07","=""2070012""",69,66,"*","*"
"Regional School District 08","=""2080012""",131,40,0,0
"Regional School District 09","=""2090012""",0,20,0,0
"Regional School District 10","=""2100012""",97,21,6,0
"Regional School District 11","=""2110012""",39,30,0,"*"
"Regional School District 12","=""2120012""",34,15,0,0
"Regional School District 13","=""2130012""",44,24,"*",0
"Regional School District 14","=""2140012""",16,18,"*",0
"Regional School District 15","=""2150012""",161,66,"*",0
"Regional School District 16","=""2160012""",145,39,8,0
"Regional School District 17","=""2170012""",110,18,"*",0
"Regional School District 18","=""""",60,11,"*",9
"Regional School District 18","=""2180012""",60,11,"*",9
"Regional School District 19","=""""",40,56,"*",0
"Regional School District 19","=""2190012""",40,56,"*",0
"Ridgefield School District","=""1180011""",55,12,0,0
"Rocky Hill School District","=""1190011""",104,16,"*",0
"Salem School District","=""1210011""","*",11,0,"*"
"Salisbury School District","=""1220011""","*",0,0,0
"Scotland School District","=""1230011""","*",7,0,"*"
"Seymour School District","=""1240011""",387,105,"*","*"
"Sharon School District","=""1250011""",8,"*",0,0
"Shelton School District","=""1260011""",487,100,"*","*"
"Sherman School District","=""1270011""",10,"*",0,0
"Side By Side Charter School District","=""2700013""",6,"*",0,"*"
"Simsbury School District","=""""",101,18,0,0
"Simsbury School District","=""1280011""",101,18,0,0
"Somers School District","=""1290011""",98,30,0,0
"South Windsor School District","=""1320011""",140,77,6,"*"
"Southington School District","=""""",323,81,10,7
"Southington School District","=""1310011""",323,81,10,7
"Sprague School District","=""1330011""",56,"*","*","*"
"Stafford School District","=""1340011""",177,23,"*","*"
"Stamford Academy District","=""2820013""",23,35,0,0
"Stamford School District","=""1350011""",66,531,23,"*"
"Sterling School District","=""""",44,21,0,"*"
"Sterling School District","=""1360011""",44,21,0,"*"
"Stonington School District","=""""",226,51,"*","*"
"Stonington School District","=""1370011""",226,51,"*","*"
"Stratford School District","=""""",812,43,0,35
"Stratford School District","=""1380011""",812,43,0,35
"Suffield School District","=""""",34,36,"*",0
"Suffield School District","=""1390011""",34,36,"*",0
"The Bridge Academy District","=""2690013""",50,52,"*",12
"The Gilbert School District","=""9020022""",454,171,0,0
"Thomaston School District","=""1400011""",85,34,"*",0
"Thompson School District","=""1410011""",55,45,0,8
"Tolland School District","=""1420011""",77,13,"*",0
"Torrington School District","=""""",385,258,6,22
"Torrington School District","=""1430011""",385,258,6,22
"Trailblazers Academy District","=""2780013""",0,25,0,"*"
"Trumbull School District","=""1440011""",82,55,"*","*"
"Unified School District #2","=""""",71,81,0,0
"Unified School District #2","=""3470015""",71,81,0,0
"Vernon School District","=""""",925,321,"*",10
"Vernon School District","=""1460011""",925,321,"*",10
"Voluntown School District","=""1470011""",9,0,0,0
"Wallingford School District","=""""",394,148,"*",19
"Wallingford School District","=""1480011""",394,148,"*",19
"Waterbury School District","=""1510011""",6577,5854,7,116
"Waterford School District","=""1520011""",309,33,"*","*"
"Watertown School District","=""""",322,58,"*","*"
"Watertown School District","=""1530011""",322,58,"*","*"
"West Hartford School District","=""""",554,186,0,9
"West Hartford School District","=""1550011""",554,186,0,9
"West Haven School District","=""1560011""",319,352,8,87
"Westbrook School District","=""1540011""","*","*",0,0
"Weston School District","=""1570011""",27,7,0,0
"Westport School District","=""1580011""",108,19,0,"*"
"Wethersfield School District","=""""",129,70,"*","*"
"Wethersfield School District","=""1590011""",129,70,"*","*"
"Willington School District","=""""",20,"*",0,"*"
"Willington School District","=""1600011""",20,"*",0,"*"
"Wilton School District","=""1610011""",60,18,0,"*"
"Winchester School District","=""1620011""",13,10,0,0
"Windham School District","=""""",729,601,10,26
"Windham School District","=""1630011""",729,601,10,26
"Windsor Locks School District","=""1650011""",209,87,11,"*"
"Windsor School District","=""1640011""",1002,171,8,81
"Wolcott School District","=""1660011""",146,43,0,"*"
"Woodbridge School District","=""1670011""",0,"*",0,0
"Woodstock Academy District","=""9030022""",90,35,18,0
"Woodstock School District","=""""",24,8,0,0
"Woodstock School District","=""1690011""",24,8,0,0

