"Sanction Counts, 2015-16"
"All Districts"

"",,"Sanction Type",,,
"Fairfield School District","=""0510011""",275,58,"*","*"
"Farmington School District","=""""",56,29,"*","*"
"Farmington School District","=""0520011""",56,29,"*","*"
"Franklin School District","=""0530011""","*","*",0,0
"Glastonbury School District","=""0540011""",96,24,0,"*"
"Granby School District","=""""",102,11,"*",8
"Granby School District","=""0560011""",102,11,"*",8
"Great Oaks Charter School District","=""2940013""",101,99,0,39
"Greenwich School District","=""0570011""",86,52,"*",0
"Griswold School District","=""0580011""",146,61,6,0
"Groton School District","=""0590011""",637,292,"*","*"
"Guilford School District","=""""",65,43,"*",0
"Guilford School District","=""0600011""",65,43,"*",0
"Hamden School District","=""""",572,370,7,34
"Hamden School District","=""0620011""",572,370,7,34
"Hampton School District","=""0630011""","*",0,0,0
"Hartford School District","=""""",3965,3531,82,84
"Hartford School District","=""0640011""",3965,3531,82,84
"Hartland School District","=""0650011""","*","*",0,0
"Hebron School District","=""0670011""",8,"*",0,0
"Highville Charter School District","=""2860013""",156,103,0,7
"Integrated Day Charter School District","=""2640013""",12,11,0,"*"
"Interdistrict School for Arts and Comm District","=""2650013""",62,18,0,0
"Jumoke Academy District","=""2610013""",99,44,0,"*"
"Kent School District","=""0680011""","*",0,0,0
"Killingly School District","=""0690011""",350,71,0,14
"Learn","=""2450014""",138,125,"*","*"
"Lebanon School District","=""0710011""",30,13,"*",0
"Ledyard School District","=""0720011""",150,42,0,"*"
"Lisbon School District","=""0730011""",13,0,0,0
"Litchfield School District","=""0740011""",63,13,"*","*"
"Madison School District","=""0760011""",65,9,"*","*"
"Manchester School District","=""""",926,379,10,7
"Manchester School District","=""0770011""",926,379,10,7
"Mansfield School District","=""0780011""",43,"*",0,"*"
"Marlborough School District","=""0790011""","*",0,0,"*"
"Meriden School District","=""0800011""",652,619,"*","*"
"Middletown School District","=""""",547,320,"*",42
"Middletown School District","=""0830011""",547,320,"*",42
"Milford School District","=""0840011""",660,192,8,6
"Monroe School District","=""""",56,35,0,0
"Monroe School District","=""0850011""",56,35,0,0
"Montville School District","=""0860011""",116,67,"*",6
"Naugatuck School District","=""""",432,262,"*",8
"Naugatuck School District","=""0880011""",432,262,"*",8
"New Beginnings Inc., Family Academy District","=""2800013""",0,103,0,16
"New Britain School District","=""""",2562,1374,40,60
"New Britain School District","=""0890011""",2562,1374,40,60
"New Canaan School District","=""0900011""",25,"*",0,0
"New Fairfield School District","=""0910011""",129,12,0,0
"New Hartford School District","=""0920011""","*","*",0,"*"
"New Haven School District","=""0930011""",623,2640,30,78
"New London School District","=""0950011""",793,318,17,45
"New Milford School District","=""0960011""",535,88,"*",0
"Newington School District","=""0940011""",371,56,6,7
"Newtown School District","=""0970011""",124,74,"*","*"
"Norfolk School District","=""0980011""","*","*",0,"*"
"North Branford School District","=""0990011""",190,59,0,"*"
"North Haven School District","=""1010011""",98,63,0,0
"North Stonington School District","=""1020011""",35,15,"*",0
"Norwalk School District","=""1030011""",807,261,32,8
"Norwich Free Academy District","=""9010022""",332,240,22,"*"
"Norwich School District","=""""",391,195,8,"*"
"Norwich School District","=""1040011""",391,195,8,"*"
"Odyssey Community School District","=""2630013""",18,"*",0,"*"
"Old Saybrook School District","=""1060011""",40,36,0,"*"
"Orange School District","=""1070011""",14,0,0,"*"
"Oxford School District","=""1080011""",31,19,"*",0
"Park City Prep Charter School District","=""2830013""",100,74,"*",0
"Path Academy District","=""2930013""",0,25,6,0
"Plainfield School District","=""1090011""",491,209,"*","*"
"Plainville School District","=""1100011""",238,65,"*",0
"Plymouth School District","=""1110011""",165,23,"*",0
"Pomfret School District","=""1120011""",18,8,0,0
"Portland School District","=""1130011""",52,22,0,0
"Preston School District","=""1140011""",10,"*","*","*"
"Putnam School District","=""1160011""",80,64,"*",9
"Redding School District","=""1170011""",24,"*",0,9
"Regional School District 01","=""2010012""",95,22,0,"*"
"Regional School District 04","=""2040012""",43,14,"*",0
"Regional School District 05","=""2050012""",101,46,"*",0
"Regional School District 06","=""2060012""",74,9,"*","*"
"Regional School District 07","=""2070012""",48,49,0,0
"Regional School District 08","=""2080012""",101,33,0,0
"Regional School District 09","=""2090012""",21,17,0,0
"Regional School District 10","=""2100012""",81,14,0,0
"Regional School District 11","=""2110012""",29,16,0,"*"
"Regional School District 12","=""""",25,20,0,0
"Regional School District 12","=""2120012""",25,20,0,0
"Regional School District 13","=""2130012""",31,18,0,0
"Regional School District 14","=""2140012""",43,20,8,0
"Regional School District 15","=""2150012""",182,60,"*",0
"Regional School District 16","=""""",158,44,0,0
"Regional School District 16","=""2160012""",158,44,0,0
"Regional School District 17","=""2170012""",109,41,7,"*"
"Regional School District 18","=""2180012""",35,"*","*","*"
"Regional School District 19","=""2190012""",48,61,0,"*"
"Ridgefield School District","=""1180011""",69,8,"*","*"
"Rocky Hill School District","=""1190011""",80,"*",0,"*"
"Salem School District","=""1210011""","*","*",0,"*"
"Salisbury School District","=""1220011""",12,0,0,0
"Scotland School District","=""1230011""",10,"*",0,0
"Seymour School District","=""1240011""",254,73,"*",0
"Shelton School District","=""1260011""",502,94,"*","*"
"Sherman School District","=""1270011""",16,0,0,0
"Side By Side Charter School District","=""2700013""",9,7,0,0
"Simsbury School District","=""""",117,22,"*",0
"Simsbury School District","=""1280011""",117,22,"*",0
"Somers School District","=""1290011""",106,30,0,0
"South Windsor School District","=""1320011""",185,72,0,9
"Southington School District","=""""",276,90,9,7
"Southington School District","=""1310011""",276,90,9,7
"Sprague School District","=""1330011""",36,13,0,"*"
"Stafford School District","=""1340011""",156,39,6,"*"
"Stamford Academy District","=""2820013""",15,30,0,0
"Stamford Charter School for Excellence District","=""2960013""","*",0,0,"*"
"Stamford School District","=""1350011""",293,606,29,10
"Sterling School District","=""""",19,8,0,12
"Sterling School District","=""1360011""",19,8,0,12
"Stonington School District","=""1370011""",216,50,"*","*"
"Stratford School District","=""""",806,54,0,24
"Stratford School District","=""1380011""",806,54,0,24
"Suffield School District","=""1390011""",316,50,"*",19
"The Bridge Academy District","=""2690013""",32,63,"*",20
"The Gilbert School District","=""9020022""",209,62,0,0
"Thomaston School District","=""1400011""",103,41,"*",0
"Thompson School District","=""1410011""",94,110,0,0
"Tolland School District","=""1420011""",123,22,12,0
"Torrington School District","=""""",514,241,10,31
"Torrington School District","=""1430011""",514,241,10,31
"Trailblazers Academy District","=""2780013""","*",70,0,0
"Trumbull School District","=""1440011""",70,40,"*","*"
"Unified School District #2","=""""",72,100,0,0
"Unified School District #2","=""3470015""",72,100,0,0
"Union School District","=""1450011""","*",0,0,0
"Vernon School District","=""1460011""",942,449,"*",11
"Voluntown School District","=""1470011""","*",0,0,"*"
"Wallingford School District","=""""",278,113,6,"*"
"Wallingford School District","=""1480011""",278,113,6,"*"
"Waterbury School District","=""1510011""",6193,6557,"*",131
"Waterford School District","=""""",310,56,"*","*"
"Waterford School District","=""1520011""",310,56,"*","*"
"Watertown School District","=""""",375,73,8,"*"
"Watertown School District","=""1530011""",375,73,8,"*"
"West Hartford School District","=""""",705,228,10,"*"
"West Hartford School District","=""1550011""",705,228,10,"*"
"West Haven School District","=""1560011""",420,389,22,86
"Westbrook School District","=""1540011""",8,"*",0,0
"Weston School District","=""1570011""",50,18,"*","*"
"Westport School District","=""1580011""",85,19,0,"*"
"Wethersfield School District","=""""",205,76,0,0
"Wethersfield School District","=""1590011""",205,76,0,0
"Willington School District","=""1600011""",6,"*",0,"*"
"Wilton School District","=""1610011""",39,10,"*",0
"Winchester School District","=""1620011""",12,8,0,"*"
"Windham School District","=""""",982,471,13,24
"Windham School District","=""1630011""",982,471,13,24
"Windsor Locks School District","=""1650011""",242,70,7,0
"Windsor School District","=""1640011""",1110,228,"*",37
"Wolcott School District","=""""",204,38,"*",0
"Wolcott School District","=""1660011""",204,38,"*",0
"Woodbridge School District","=""1670011""",0,"*",0,0
"Woodstock Academy District","=""9030022""",61,40,9,0
"Woodstock School District","=""1690011""",19,"*",0,"*"

