"Sanction Counts, 2016-17"
"All Districts"

"",,"Sanction Type",,,
"East Haddam School District","=""0410011""",43,22,0,0
"East Hampton School District","=""0420011""",78,37,0,"*"
"East Hartford School District","=""0430011""",1754,743,13,29
"East Haven School District","=""0440011""",421,230,0,"*"
"East Lyme School District","=""0450011""",95,26,10,"*"
"East Windsor School District","=""0470011""",134,78,8,30
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",38,34,0,"*"
"Eastford School District","=""0390011""",8,"*",0,"*"
"Easton School District","=""0460011""",11,0,0,"*"
"EdAdvance","=""2420014""","*",8,0,"*"
"Ellington School District","=""0480011""",266,78,"*",6
"Elm City College Preparatory School District","=""2890013""",99,201,0,"*"
"Elm City Montessori School District","=""2910013""",6,"*",0,13
"Enfield School District","=""0490011""",742,263,16,"*"
"Essex School District","=""0500011""","*",0,0,0
"Explorations District","=""2720013""",10,10,0,0
"Fairfield School District","=""0510011""",294,32,"*",0
"Farmington School District","=""0520011""",33,28,0,6
"Franklin School District","=""0530011""",7,10,"*",0
"Glastonbury School District","=""0540011""",168,32,0,"*"
"Granby School District","=""0560011""",106,14,"*","*"
"Great Oaks Charter School District","=""2940013""",130,243,0,24
"Greenwich School District","=""0570011""",134,65,7,"*"
"Griswold School District","=""0580011""",96,69,"*","*"
"Groton School District","=""0590011""",549,245,6,0
"Guilford School District","=""0600011""",57,21,"*","*"
"Hamden School District","=""0620011""",722,341,"*",33
"Hampton School District","=""0630011""",0,0,0,"*"
"Hartford School District","=""0640011""",4073,3056,65,54
"Hartland School District","=""0650011""",8,"*",0,"*"
"Hebron School District","=""0670011""",9,7,0,"*"
"Highville Charter School District","=""2860013""",66,97,0,0
"Integrated Day Charter School District","=""2640013""","*",8,0,0
"Interdistrict School for Arts and Comm District","=""2650013""",59,9,0,0
"Jumoke Academy District","=""2610013""",103,78,0,"*"
"Kent School District","=""0680011""",0,"*",0,0
"Killingly School District","=""0690011""",397,80,0,21
"Learn","=""2450014""",137,280,6,"*"
"Lebanon School District","=""0710011""",28,12,0,0
"Ledyard School District","=""0720011""",159,76,"*",0
"Lisbon School District","=""0730011""",9,0,0,0
"Litchfield School District","=""0740011""",45,8,0,"*"
"Madison School District","=""0760011""",88,6,"*",0
"Manchester School District","=""0770011""",983,538,11,11
"Mansfield School District","=""0780011""",42,9,0,0
"Marlborough School District","=""0790011""","*",0,0,0
"Meriden School District","=""0800011""",404,800,6,"*"
"Middletown School District","=""0830011""",435,258,0,39
"Milford School District","=""0840011""",600,120,9,"*"
"Monroe School District","=""0850011""",62,42,"*",0
"Montville School District","=""0860011""",113,58,"*",15
"Naugatuck School District","=""0880011""",522,245,13,"*"
"New Beginnings Inc Family Academy District","=""2800013""",0,"*",0,9
"New Britain School District","=""0890011""",2336,1333,22,65
"New Canaan School District","=""0900011""",42,"*",0,0
"New Fairfield School District","=""0910011""",147,20,0,0
"New Hartford School District","=""0920011""",0,"*",0,0
"New Haven School District","=""0930011""",528,2075,17,40
"New London School District","=""0950011""",699,243,15,31
"New Milford School District","=""0960011""",442,88,7,8
"Newington School District","=""0940011""",331,53,"*","*"
"Newtown School District","=""0970011""",120,118,"*","*"
"Norfolk School District","=""0980011""","*","*",0,"*"
"North Branford School District","=""0990011""",117,55,"*",0
"North Canaan School District","=""1000011""","*",0,0,"*"
"North Haven School District","=""1010011""",135,59,"*",0
"North Stonington School District","=""1020011""",43,6,"*",0
"Norwalk School District","=""1030011""",1031,344,23,20
"Norwich Free Academy District","=""9010022""",437,236,27,"*"
"Norwich School District","=""1040011""",365,267,7,6
"Odyssey Community School District","=""2630013""",12,12,0,"*"
"Old Saybrook School District","=""1060011""",31,34,"*","*"
"Orange School District","=""1070011""",10,"*",0,0
"Oxford School District","=""1080011""",42,44,"*",0
"Park City Prep Charter School District","=""2830013""",37,54,0,0
"Path Academy District","=""2930013""",0,51,"*",0
"Plainfield School District","=""1090011""",179,200,"*","*"
"Plainville School District","=""1100011""",248,59,0,"*"
"Plymouth School District","=""1110011""",164,24,0,0
"Pomfret School District","=""1120011""",9,"*",0,0
"Portland School District","=""1130011""",50,50,0,0
"Preston School District","=""1140011""",12,"*",0,"*"
"Putnam School District","=""1160011""",73,42,"*","*"
"Redding School District","=""1170011""",33,0,0,"*"
"Regional School District 01","=""2010012""",36,21,"*",0
"Regional School District 04","=""2040012""",51,13,0,0
"Regional School District 05","=""2050012""",65,43,"*",0
"Regional School District 06","=""2060012""",24,21,0,0
"Regional School District 07","=""2070012""",47,18,0,"*"
"Regional School District 08","=""2080012""",117,42,0,"*"
"Regional School District 09","=""2090012""",36,6,"*",0
"Regional School District 10","=""2100012""",74,15,"*",0
"Regional School District 11","=""2110012""",43,24,0,0
"Regional School District 12","=""2120012""",27,14,0,0
"Regional School District 13","=""2130012""",33,23,"*",0
"Regional School District 14","=""2140012""",41,22,"*",0
"Regional School District 15","=""2150012""",122,64,"*",0
"Regional School District 16","=""2160012""",173,40,"*","*"
"Regional School District 17","=""2170012""",151,34,7,"*"
"Regional School District 18","=""2180012""",54,9,8,"*"
"Regional School District 19","=""2190012""",28,46,0,0
"Ridgefield School District","=""1180011""",103,10,0,"*"
"Rocky Hill School District","=""1190011""",71,18,"*",0
"Salem School District","=""1210011""",13,"*",0,"*"
"Salisbury School District","=""1220011""",9,"*",0,0
"Scotland School District","=""1230011""",6,"*",0,0
"Seymour School District","=""1240011""",164,48,0,0
"Sharon School District","=""1250011""","*",0,0,"*"
"Shelton School District","=""1260011""",454,110,7,12
"Sherman School District","=""1270011""",24,0,0,"*"
"Side By Side Charter School District","=""2700013""",6,0,0,0
"Simsbury School District","=""1280011""",141,31,"*",0
"Somers School District","=""1290011""",102,34,0,0
"South Windsor School District","=""1320011""",235,91,10,"*"
"Southington School District","=""1310011""",81,34,"*","*"
"Sprague School District","=""1330011""",40,24,0,0
"Stafford School District","=""1340011""",80,8,"*","*"
"Stamford Academy District","=""2820013""",0,27,0,0
"Stamford Charter School for Excellence District","=""2960013""","*","*",0,0
"Stamford School District","=""1350011""",202,728,30,7
"Sterling School District","=""1360011""",27,6,0,9
"Stonington School District","=""1370011""",184,29,"*","*"
"Stratford School District","=""1380011""",805,49,0,41
"Suffield School District","=""1390011""",211,36,"*",18
"The Bridge Academy District","=""2690013""",31,88,"*",12
"The Gilbert School District","=""9020022""",233,67,0,0
"Thomaston School District","=""1400011""",151,24,8,"*"
"Thompson School District","=""1410011""",126,57,"*","*"
"Tolland School District","=""1420011""",157,12,0,0
"Torrington School District","=""1430011""",353,281,8,13
"Trailblazers Academy District","=""2780013""",67,35,0,0
"Trumbull School District","=""1440011""",113,46,7,"*"
"Unified School District #2","=""3470015""",98,"*",0,0
"Vernon School District","=""1460011""",721,296,"*",13
"Voluntown School District","=""1470011""","*",0,0,0
"Wallingford School District","=""1480011""",319,132,9,24
"Waterbury School District","=""1510011""",5911,6352,0,99
"Waterford School District","=""1520011""",255,28,"*",10
"Watertown School District","=""1530011""",363,115,"*","*"
"West Hartford School District","=""1550011""",675,165,"*",13
"West Haven School District","=""1560011""",296,296,15,66
"Westbrook School District","=""1540011""",22,"*",0,0
"Weston School District","=""1570011""",54,17,"*","*"
"Westport School District","=""1580011""",102,10,"*","*"
"Wethersfield School District","=""1590011""",151,47,0,0
"Willington School District","=""1600011""",32,"*",0,"*"
"Wilton School District","=""1610011""",22,19,"*",0
"Winchester School District","=""1620011""",36,38,0,"*"
"Windham School District","=""1630011""",596,477,20,18
"Windsor Locks School District","=""1650011""",115,65,13,0
"Windsor School District","=""1640011""",705,194,7,13
"Wolcott School District","=""1660011""",147,31,0,"*"
"Woodbridge School District","=""1670011""","*","*",0,0
"Woodstock Academy District","=""9030022""",60,24,9,0
"Woodstock School District","=""1690011""",36,12,0,"*"

