"Sanction Counts, 2009-10"
"All Districts"

"",,"Sanction Type",,,
"Interdistrict School for Arts and Comm District","=""2650013""",43,"*",0,0
"Jumoke Academy District","=""2610013""",0,0,0,"*"
"Killingly School District","=""""",709,117,"*",7
"Killingly School District","=""0690011""",709,117,"*",7
"Learn","=""2450014""",14,14,0,"*"
"Lebanon School District","=""0710011""",79,56,"*",0
"Ledyard School District","=""0720011""",129,71,"*",0
"Lisbon School District","=""0730011""",15,0,0,0
"Litchfield School District","=""0740011""",67,12,"*",0
"Madison School District","=""0760011""",180,23,"*",0
"Manchester School District","=""0770011""",1111,675,7,0
"Mansfield School District","=""""",22,9,"*","*"
"Mansfield School District","=""0780011""",22,9,"*","*"
"Marlborough School District","=""0790011""","*",0,0,0
"Meriden School District","=""0800011""",3995,1273,40,17
"Middletown School District","=""""",899,538,"*",79
"Middletown School District","=""0830011""",899,538,"*",79
"Milford School District","=""""",431,234,"*","*"
"Milford School District","=""0840011""",431,234,"*","*"
"Monroe School District","=""""",97,29,0,"*"
"Monroe School District","=""0850011""",97,29,0,"*"
"Montville School District","=""0860011""",443,123,"*",23
"Naugatuck School District","=""0880011""",1048,324,11,22
"New Beginnings Inc., Family Academy District","=""2800013""",8,108,0,"*"
"New Britain School District","=""""",3879,1740,9,"*"
"New Britain School District","=""0890011""",3879,1740,9,"*"
"New Canaan School District","=""0900011""",36,12,0,0
"New Fairfield School District","=""""",216,40,7,0
"New Fairfield School District","=""0910011""",216,40,7,0
"New Hartford School District","=""0920011""","*",0,0,0
"New Haven School District","=""""",662,4307,112,10
"New Haven School District","=""0930011""",662,4307,112,10
"New London School District","=""0950011""",768,395,11,0
"New Milford School District","=""""",869,179,"*","*"
"New Milford School District","=""0960011""",869,179,"*","*"
"Newington School District","=""""",496,32,"*","*"
"Newington School District","=""0940011""",496,32,"*","*"
"Newtown School District","=""""",216,33,0,0
"Newtown School District","=""0970011""",216,33,0,0
"North Branford School District","=""0990011""",442,90,"*",9
"North Canaan School District","=""1000011""",15,0,0,"*"
"North Haven School District","=""1010011""",89,85,0,0
"North Stonington School District","=""1020011""",93,"*",17,"*"
"Norwalk School District","=""""",889,1277,85,10
"Norwalk School District","=""1030011""",889,1277,85,10
"Norwich Free Academy District","=""9010022""",275,157,19,0
"Norwich School District","=""""",438,324,"*",18
"Norwich School District","=""1040011""",438,324,"*",18
"Odyssey Community School District","=""2630013""",17,8,"*","*"
"Old Saybrook School District","=""1060011""",58,25,"*","*"
"Orange School District","=""1070011""",11,"*",0,"*"
"Oxford School District","=""1080011""",30,35,0,0
"Park City Prep Charter School District","=""2830013""",417,235,0,"*"
"Plainfield School District","=""1090011""",309,124,"*",47
"Plainville School District","=""1100011""",146,54,"*",6
"Plymouth School District","=""""",241,148,0,0
"Plymouth School District","=""1110011""",241,148,0,0
"Pomfret School District","=""1120011""",8,"*",0,0
"Portland School District","=""1130011""",56,42,0,"*"
"Preston School District","=""1140011""",23,"*",0,"*"
"Putnam School District","=""1160011""",285,103,"*",29
"Redding School District","=""1170011""",29,"*",0,8
"Regional School District 01","=""2010012""",58,9,"*","*"
"Regional School District 04","=""2040012""",102,93,"*",0
"Regional School District 05","=""2050012""",301,89,0,"*"
"Regional School District 06","=""2060012""",90,19,0,"*"
"Regional School District 07","=""2070012""",38,54,0,0
"Regional School District 08","=""2080012""",227,52,"*","*"
"Regional School District 09","=""2090012""",7,26,0,0
"Regional School District 10","=""2100012""",310,29,"*","*"
"Regional School District 11","=""2110012""",60,46,0,0
"Regional School District 12","=""2120012""",203,23,0,"*"
"Regional School District 13","=""2130012""",45,12,0,0
"Regional School District 14","=""2140012""",113,40,"*",0
"Regional School District 15","=""2150012""",51,163,"*",0
"Regional School District 16","=""2160012""",238,90,"*",0
"Regional School District 17","=""2170012""",167,11,14,"*"
"Regional School District 18","=""2180012""",41,"*","*",0
"Regional School District 19","=""""",75,80,0,0
"Regional School District 19","=""2190012""",75,80,0,0
"Ridgefield School District","=""1180011""",45,41,6,0
"Rocky Hill School District","=""""",225,51,0,"*"
"Rocky Hill School District","=""1190011""",225,51,0,"*"
"Salem School District","=""1210011""",11,0,0,0
"Salisbury School District","=""1220011""",6,0,0,"*"
"Scotland School District","=""1230011""","*","*",0,0
"Seymour School District","=""""",586,124,0,0
"Seymour School District","=""1240011""",586,124,0,0
"Sharon School District","=""1250011""","*",0,0,"*"
"Shelton School District","=""1260011""",559,166,0,7
"Sherman School District","=""1270011""",15,0,0,0
"Side By Side Charter School District","=""2700013""",10,9,0,"*"
"Simsbury School District","=""1280011""",236,38,"*","*"
"Somers School District","=""""",128,36,"*",0
"Somers School District","=""1290011""",128,36,"*",0
"South Windsor School District","=""1320011""",183,164,"*","*"
"Southington School District","=""""",220,379,14,0
"Southington School District","=""1310011""",220,379,14,0
"Sprague School District","=""1330011""",25,0,0,0
"Stafford School District","=""""",696,111,10,0
"Stafford School District","=""1340011""",696,111,10,0
"Stamford School District","=""1350011""",128,659,45,"*"
"Sterling School District","=""1360011""",36,19,0,7
"Stonington School District","=""1370011""",189,43,"*","*"
"Stratford School District","=""""",944,300,"*",13
"Stratford School District","=""1380011""",944,300,"*",13
"Suffield School District","=""1390011""",376,61,6,16
"The Bridge Academy District","=""2690013""",91,147,"*","*"
"The Gilbert School District","=""9020022""",88,92,0,0
"Thomaston School District","=""1400011""",106,110,"*",0
"Thompson School District","=""1410011""",105,56,"*",10
"Tolland School District","=""1420011""",184,66,0,6
"Torrington School District","=""""",559,336,"*",15
"Torrington School District","=""1430011""",559,336,"*",15
"Trailblazers Academy District","=""2780013""",0,"*",0,0
"Trumbull School District","=""""",52,136,15,"*"
"Trumbull School District","=""1440011""",52,136,15,"*"
"Unified School District #2","=""""",93,40,0,0
"Unified School District #2","=""3470015""",93,40,0,0
"Vernon School District","=""""",263,722,8,"*"
"Vernon School District","=""1460011""",263,722,8,"*"
"Voluntown School District","=""1470011""",21,"*",0,0
"Wallingford School District","=""1480011""",743,310,0,16
"Waterbury School District","=""1510011""",6852,8131,0,110
"Waterford School District","=""""",389,63,"*",16
"Waterford School District","=""1520011""",389,63,"*",16
"Watertown School District","=""1530011""",591,193,"*",7
"West Hartford School District","=""""",1001,311,10,17
"West Hartford School District","=""1550011""",1001,311,10,17
"West Haven School District","=""1560011""",1760,662,28,55
"Westbrook School District","=""1540011""",158,7,0,0
"Weston School District","=""1570011""",35,14,0,0
"Westport School District","=""1580011""",117,55,"*","*"
"Wethersfield School District","=""""",167,87,"*",0
"Wethersfield School District","=""1590011""",167,87,"*",0
"Willington School District","=""1600011""",30,0,0,0
"Wilton School District","=""1610011""",33,29,0,6
"Winchester School District","=""1620011""",73,35,0,0
"Windham School District","=""1630011""",1552,564,9,62
"Windsor Locks School District","=""1650011""",357,76,"*",15
"Windsor School District","=""1640011""",846,419,12,35
"Wolcott School District","=""1660011""",233,74,6,"*"
"Woodbridge School District","=""1670011""","*",0,0,0
"Woodstock Academy District","=""9030022""",132,32,6,0
"Woodstock School District","=""1690011""",18,11,0,"*"

